Gene 1	Gene 2	Weight	Network group	Network
ADAM19	ABI2	0.067025386	Physical Interactions	IREF-SMALL-SCALE-STUDIES
TBC1D22A	ACBD3	0.20712337	Physical Interactions	IREF-SMALL-SCALE-STUDIES
ADAM29	ABI2	0.6043987	Physical Interactions	IREF-SMALL-SCALE-STUDIES
IGHMBP2	ABT1	0.48815042	Physical Interactions	IREF-SMALL-SCALE-STUDIES
ADAM22	ABI2	0.13769147	Physical Interactions	IREF-SMALL-SCALE-STUDIES
GOLGB1	ACBD3	0.17262083	Physical Interactions	IREF-SMALL-SCALE-STUDIES
PI4KB	ACBD3	0.10971846	Physical Interactions	IREF-SMALL-SCALE-STUDIES
TRIM32	ABI2	0.60778123	Physical Interactions	Sahni-Vidal-2015
TRIM32	ABI2	0.035885185	Physical Interactions	Huttlin-Harper-2017
NCKAP1	ABI2	0.025525326	Physical Interactions	Huttlin-Harper-2017
TBC1D22A	ACBD3	0.26511627	Physical Interactions	Huttlin-Harper-2017
BCO1	ABLIM1	0.5977703	Physical Interactions	Huttlin-Harper-2017
SURF1	ACADVL	0.19845834	Physical Interactions	Huttlin-Harper-2017
TRIM32	ABI2	0.008667255	Physical Interactions	IREF-huri
TAF1B	ACADVL	0.7848324	Physical Interactions	IREF-huri
DTNB	ABI2	0.006110946	Physical Interactions	IREF-huri
IHO1	ABI2	0.0071439836	Physical Interactions	IREF-huri
LDOC1	ABLIM1	0.8426755	Physical Interactions	IREF-innatedb
TRIM32	ABI2	0.027883628	Physical Interactions	Rolland-Vidal-2014
DTNB	ABI2	0.02310994	Physical Interactions	Rolland-Vidal-2014
IHO1	ABI2	0.016977416	Physical Interactions	Rolland-Vidal-2014
ADAM19	ABI2	0.62289274	Physical Interactions	IREF-bind-translation
TRIM32	ABI2	0.006329594	Physical Interactions	IREF-intact
ADAM19	ABI2	0.012569279	Physical Interactions	IREF-intact
TAF1B	ACADVL	0.3491221	Physical Interactions	IREF-intact
TBC1D22A	ACBD3	0.41473585	Physical Interactions	IREF-intact
ADAM29	ABI2	0.17273192	Physical Interactions	IREF-intact
BCO1	ABLIM1	0.554627	Physical Interactions	IREF-intact
SURF1	ACADVL	0.54929304	Physical Interactions	IREF-intact
ADAM22	ABI2	0.02243461	Physical Interactions	IREF-intact
DTNB	ABI2	0.005498347	Physical Interactions	IREF-intact
LDOC1	ABLIM1	0.017990123	Physical Interactions	IREF-intact
IHO1	ABI2	0.0047614765	Physical Interactions	IREF-intact
PI4KB	ACBD3	0.13160248	Physical Interactions	IREF-intact
TRIM32	ABI2	0.48295295	Physical Interactions	IREF-quickgo
TBC1D22A	ACBD3	0.21233706	Physical Interactions	IREF-quickgo
IGHMBP2	ABT1	0.62196183	Physical Interactions	IREF-quickgo
PI4KB	ACBD3	0.14536886	Physical Interactions	IREF-quickgo
DTNB	ABI2	0.5678745	Physical Interactions	Yu-Vidal-2011
IHO1	ABI2	0.37012613	Physical Interactions	Yu-Vidal-2011
ADAM22	ABI2	0.5281839	Physical Interactions	Rual-Vidal-2005
LDOC1	ABLIM1	0.053825006	Physical Interactions	Rual-Vidal-2005
TRIM32	ABI2	0.16411228	Physical Interactions	Chen-Yu-2018
DTNB	ABI2	0.06958971	Physical Interactions	Chen-Yu-2018
IHO1	ABI2	0.16411228	Physical Interactions	Chen-Yu-2018
TRIM32	ABI2	0.0540102	Physical Interactions	BIOGRID-SMALL-SCALE-STUDIES
ADAM19	ABI2	0.37699834	Physical Interactions	BIOGRID-SMALL-SCALE-STUDIES
GOLGB1	ACBD3	0.45085394	Physical Interactions	BIOGRID-SMALL-SCALE-STUDIES
CASKIN1	ABI2	0.12851378	Physical Interactions	BIOGRID-SMALL-SCALE-STUDIES
ADAM19	ABI2	0.39191929	Physical Interactions	IREF-matrixdb
TRIM32	ABI2	0.15835552	Physical Interactions	IREF-hprd
LDOC1	ABLIM1	0.0564143	Physical Interactions	IREF-hprd
GOLGB1	ACBD3	0.33861116	Physical Interactions	IREF-hprd
TRIM32	ABI2	0.47752362	Physical Interactions	Fragoza-Yu-2019
DTNB	ABI2	0.39948943	Physical Interactions	Fragoza-Yu-2019
TRIM32	ABI2	0.008138489	Physical Interactions	Luck-Calderwood-2020
TAF1B	ACADVL	0.78509575	Physical Interactions	Luck-Calderwood-2020
DTNB	ABI2	0.0056738667	Physical Interactions	Luck-Calderwood-2020
IHO1	ABI2	0.0066141053	Physical Interactions	Luck-Calderwood-2020
TBC1D22A	ACBD3	0.0631612	Physical Interactions	IREF-biogrid
SLC35A1	ACBD3	0.2290723	Physical Interactions	IREF-biogrid
NCKAP1	ABI2	0.29555696	Predicted	I2D-IntAct-Fly2Human
SPON1	ABHD11	0.55338377	Predicted	I2D-IntAct-Fly2Human
SLC25A25	ABI2	0.3808422	Predicted	I2D-IntAct-Fly2Human
CASKIN1	ABI2	0.851885	Predicted	I2D-BioGRID-Rat2Human
SPON1	ABHD11	0.5863869	Predicted	I2D-BioGRID-Fly2Human
SLC25A25	ABI2	0.6925315	Predicted	I2D-BioGRID-Fly2Human
NCKAP1	ABI2	1	Predicted	I2D-BIND-Fly2Human
ADAM29	ADAM19	0.03603733	Shared protein domains	INTERPRO
ADAM22	ADAM19	0.033478625	Shared protein domains	INTERPRO
ADAM22	ADAM29	0.036537874	Shared protein domains	INTERPRO
ADAM29	ADAM19	0.038603023	Shared protein domains	PFAM
ADAM22	ADAM19	0.033155296	Shared protein domains	PFAM
ADAM22	ADAM29	0.033155296	Shared protein domains	PFAM
