"source","target","Jaccard_weight","CPEweight"
"Signaling by NGF","T cell receptor regulation of apoptosis",1,0.333333333333333
"HNF3B pathway","Rac1 cell motility signaling pathway",0,1
"ABCA transporters in lipid homeostasis","DCC-mediated attractive signaling",0,0.333333333333333
"ABCA transporters in lipid homeostasis","Developmental biology",0,0.333333333333333
"ABCA transporters in lipid homeostasis","Netrin-1 signaling",0,0.333333333333333
"ABCA transporters in lipid homeostasis","Transmembrane transport of small molecules",0.428571428571429,0.333333333333333
"ABCA transporters in lipid homeostasis","Validated nuclear estrogen receptor alpha network",0.333333333333333,0.333333333333333
"DCC-mediated attractive signaling","Developmental biology",1,0.333333333333333
"DCC-mediated attractive signaling","Netrin-1 signaling",1,0.333333333333333
"DCC-mediated attractive signaling","Transmembrane transport of small molecules",0,0.333333333333333
"DCC-mediated attractive signaling","Validated nuclear estrogen receptor alpha network",0,0.333333333333333
"Developmental biology","Netrin-1 signaling",1,0.333333333333333
"Developmental biology","Transmembrane transport of small molecules",0,0.333333333333333
"Developmental biology","Validated nuclear estrogen receptor alpha network",0,0.333333333333333
"Netrin-1 signaling","Transmembrane transport of small molecules",0,0.333333333333333
"Netrin-1 signaling","Validated nuclear estrogen receptor alpha network",0,0.333333333333333
"Transmembrane transport of small molecules","Validated nuclear estrogen receptor alpha network",0.142857142857143,0.333333333333333
"Cell cycle","Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family",1,0.75
"BDNF signaling pathway","FSH regulation of apoptosis",1,0.666666666666667
"BDNF signaling pathway","Interleukin-2 signaling pathway",1,0.666666666666667
"FSH regulation of apoptosis","Interleukin-2 signaling pathway",1,0.666666666666667
"Fatty acid beta oxidation","Ghrelin pathway",1,0.666666666666667
"Fatty acid beta oxidation","Leptin influence on immune response",1,0.666666666666667
"Ghrelin pathway","Leptin influence on immune response",1,0.666666666666667
"E-cadherin nascent AJ-like junctions pathway","ERBB1 downstream pathway",1,0.5
"E-cadherin nascent AJ-like junctions pathway","TGF-beta regulation of extracellular matrix",0,0.75
"ERBB1 downstream pathway","TGF-beta regulation of extracellular matrix",0,0.75
