Gene.Name	Approved.Name	Hugo.Gene.Family	HPRD.Function	nodeType	Domains	Compartment	Compartment.Overview
ABHD4	abhydrolase domain containing 4	Abhydrolase domain containing	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
ABHD5	abhydrolase domain containing 5	Abhydrolase domain containing	Aminopeptidase activity (GO:0004177)	undefined	ABH	nucleus; cytosol	nucleus
ABHD6	abhydrolase domain containing 6	Abhydrolase domain containing	Molecular function unknown (GO:0005554)	membrane protein	ABH	undefined	plasma.membrane
ABHD8	abhydrolase domain containing 8	Abhydrolase domain containing	Molecular function unknown (GO:0005554)	undefined	ABH	undefined	plasma.membrane
ABI1	abl interactor 1	undefined	Binding (GO:0005488)	SH3 protein	PEST, SH3	cytosol; endoplasmic reticulum	ER.Golgi
ABI2	abl-interactor 2	undefined	Kinase regulator activity (GO:0019207); Protein kinase binding (GO:0019901)	SH3 protein	SH3	cytosol	undefined
ABI3	ABI family member 3	undefined	Receptor signaling complex scaffold activity (GO:0030159)	undefined	SH3	undefined	undefined
ABI3BP	ABI family member 3 binding protein	Fibronectin type III domain containing	Molecular function unknown (GO:0005554)	undefined	FN3	undefined	plasma.membrane
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	SH2 domain containing	Protein-tyrosine kinase activity (GO:0004713)	tyrosine kinase	SH2, Tyr_Kinase, SH3	nucleus; nucleolus; cytosol; cytoskeleton; actin	cytoskeleton
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	SH2 domain containing	Protein-tyrosine kinase activity (GO:0004713)	tyrosine kinase	SH3, SH2, Tyr_Kinase	cytosol; cytoskeleton; actin	cytoskeleton
ABLIM1	actin binding LIM protein 1	undefined	Cytoskeletal protein binding (GO:0008092)	undefined	LIM, VHP	cytoskeleton; actin; myosin	cytoskeleton
ABLIM2	actin binding LIM protein family member 2	undefined	Cytoskeletal protein binding (GO:0008092)	undefined	LIM, VHP	cytoskeleton; actin	cytoskeleton
ABLIM3	actin binding LIM protein family member 3	undefined	Structural constituent of cytoskeleton (GO:0005200)	undefined	LIM, VHP	cytoskeleton; actin; myosin	cytoskeleton
ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	Blood group antigens|Glycosyltransferase family 6	Transferase activity (GO:0016740)	membrane protein	TM	undefined	undefined
ABP1	undefined	undefined	Catalytic activity (GO:0003824)	undefined	undefined	plasma membrane	plasma.membrane
ABR	active BCR-related	Rho guanine nucleotide exchange factors|C2 domain containing|Pleckstrin homology domain containing	GTPase activator activity (GO:0005096)	kinase	PH, C2, RHOGAP, RHOGEF	cytosol	undefined
ABRA	actin binding Rho activating protein	undefined	Transcription regulator activity (GO:0030528)	transcription regulator	undefined	plasma membrane	plasma.membrane
ABRACL	ABRA C-terminal like	undefined	undefined	undefined	undefined	undefined	undefined
ABT1	activator of basal transcription 1	undefined	Transcription factor activity (GO:0003700)	transcription factor	undefined	nucleus	nucleus
ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	BTB (POZ) domain containing|Ankyrin repeat domain containing	Translation regulator activity (GO:0045182)	RNA processing protein	ANK, BTB	nucleus; nucleolus; plasma membrane	plasma.membrane
ABTB2	ankyrin repeat and BTB (POZ) domain containing 2	BTB (POZ) domain containing|Ankyrin repeat domain containing	Translation regulator activity (GO:0045182)	undefined	ANK, BTB	nucleus	nucleus
ACAA1	acetyl-CoA acyltransferase 1	undefined	Acyltransferase activity (GO:0008415)	acetyltransferase	undefined	undefined	undefined
ACAA2	acetyl-CoA acyltransferase 2	undefined	Acyltransferase activity (GO:0008415)	undefined	undefined	undefined	plasma.membrane
ACACA	acetyl-CoA carboxylase alpha	undefined	Ligase activity (GO:0016874)	undefined	undefined	nucleus; nucleolus; cytosol; cytoskeleton; actin	cytoskeleton
ACACB	acetyl-CoA carboxylase beta	undefined	Ligase activity (GO:0016874)	undefined	TM	nucleus; cytosol; mitochondria	mitochondria.metabolism
ACAD10	acyl-CoA dehydrogenase family member 10	Acyl-CoA dehydrogenase family	Catalytic activity (GO:0003824)	undefined	undefined	undefined	undefined
ACAD11	acyl-CoA dehydrogenase family member 11	Acyl-CoA dehydrogenase family	Catalytic activity (GO:0003824)	undefined	undefined	nucleus; mitochondria	mitochondria.metabolism
ACAD8	acyl-CoA dehydrogenase family member 8	Acyl-CoA dehydrogenase family	Catalytic activity (GO:0003824)	undefined	undefined	mitochondria	mitochondria.metabolism
ACAD9	acyl-CoA dehydrogenase family member 9	Acyl-CoA dehydrogenase family|Mitochondrial respiratory chain complex assembly factors	Catalytic activity (GO:0003824)	undefined	undefined	nucleus	nucleus
ACADL	acyl-CoA dehydrogenase, long chain	Acyl-CoA dehydrogenase family	Catalytic activity (GO:0003824)	undefined	undefined	mitochondria	mitochondria.metabolism
ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	Acyl-CoA dehydrogenase family	Catalytic activity (GO:0003824)	undefined	undefined	nucleus; mitochondria	plasma.membrane
ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	Acyl-CoA dehydrogenase family	Oxidoreductase activity (GO:0016491)	undefined	undefined	nucleus; mitochondria	mitochondria.metabolism
ACADSB	acyl-CoA dehydrogenase, short/branched chain	Acyl-CoA dehydrogenase family	Catalytic activity (GO:0003824)	undefined	undefined	mitochondria	plasma.membrane
ACADVL	acyl-CoA dehydrogenase, very long chain	Acyl-CoA dehydrogenase family	Catalytic activity (GO:0003824)	undefined	undefined	nucleus; nucleolus; mitochondria	mitochondria.metabolism
ACAN	aggrecan	Sushi domain containing|Hyalectan proteoglycans|V-set domain containing	Extracellular matrix structural constituent (GO:0005201)	undefined	LINK, EGF, LECTIN_C, SUSHI, IG	Golgi; lysosome	endolysosome.system
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Ankyrin repeat domain containing|Pleckstrin homology domain containing|ArfGAPs	Molecular function unknown (GO:0005554)	undefined	PH, ARFGAP, ANK	undefined	undefined
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Ankyrin repeat domain containing|Pleckstrin homology domain containing|ArfGAPs	GTPase activator activity (GO:0005096)	undefined	ARFGAP, ANK	endosome	endolysosome.system
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Ankyrin repeat domain containing|Pleckstrin homology domain containing|ArfGAPs	Molecular function unknown (GO:0005554)	undefined	PH, ARFGAP, ANK	undefined	undefined
ACAT1	acetyl-CoA acetyltransferase 1	undefined	Acyltransferase activity (GO:0008415)	acetyltransferase	undefined	mitochondria	plasma.membrane
ACAT2	acetyl-CoA acetyltransferase 2	undefined	Acyltransferase activity (GO:0008415)	acetyltransferase	undefined	nucleus; nucleolus	plasma.membrane
ACBD3	acyl-CoA binding domain containing 3	A-kinase anchoring proteins	Transporter activity (GO:0005215)	undefined	undefined	Golgi	ER.Golgi
ACBD4	acyl-CoA binding domain containing 4	undefined	Molecular function unknown (GO:0005554)	undefined	TM	undefined	undefined
ACBD5	acyl-CoA binding domain containing 5	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	nucleus	nucleus
ACBD6	acyl-CoA binding domain containing 6	Ankyrin repeat domain containing	Molecular function unknown (GO:0005554)	undefined	ANK	undefined	undefined
ACBD7	acyl-CoA binding domain containing 7	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
ACCN1	undefined	undefined	Ion channel activity (GO:0005216)	undefined	TM	undefined	undefined
ACCN2	undefined	undefined	Ion channel activity (GO:0005216)	undefined	TM	undefined	undefined
ACCN3	undefined	undefined	Voltage-gated ion channel activity (GO:0005244)	undefined	TM	undefined	undefined
ACCN4	undefined	undefined	Ion channel activity (GO:0005216)	undefined	undefined	undefined	undefined
ACCN5	undefined	undefined	Ion channel activity (GO:0005216)	undefined	TM	undefined	undefined
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
ACCSL	1-aminocyclopropane-1-carboxylate synthase (inactive)-like	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
ACD	adrenocortical dysplasia homolog (mouse)	undefined	Transcription regulator activity (GO:0030528)	undefined	undefined	DNA-associated; nucleus; chromatin	nucleus
ACE	angiotensin I converting enzyme	CD molecules	Hydrolase activity (GO:0016787)	membrane protein	TM	plasma membrane; endosome; lysosome	endolysosome.system
ACE2	angiotensin I converting enzyme 2	undefined	Carboxypeptidase activity (GO:0004180)	membrane protein	TM	plasma membrane	plasma.membrane
ACER1	alkaline ceramidase 1	Alkaline ceramidases	Hydrolase activity (GO:0016787)	membrane protein	TM	nucleus; endoplasmic reticulum	ER.Golgi
ACER2	alkaline ceramidase 2	Alkaline ceramidases	Hydrolase activity (GO:0016787)	membrane protein	TM	Golgi	ER.Golgi
ACER3	alkaline ceramidase 3	Alkaline ceramidases	Hydrolase activity (GO:0016787)	membrane protein	TM	nucleus; endoplasmic reticulum; Golgi	ER.Golgi
ACHE	acetylcholinesterase (Yt blood group)	Blood group antigens	Hydrolase activity (GO:0016787)	membrane protein	TM	undefined	undefined
ACIN1	apoptotic chromatin condensation inducer 1	undefined	DNA binding (GO:0003677)	RNA splicing protein	RRM, SAP	nucleus; cytosol; plasma membrane	plasma.membrane
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Blood group antigens|CD molecules|Atypical chemokine receptors	undefined	undefined	undefined	undefined	undefined
ACKR2	atypical chemokine receptor 2	Atypical chemokine receptors	undefined	undefined	undefined	undefined	undefined
ACKR3	atypical chemokine receptor 3	Atypical chemokine receptors	undefined	undefined	undefined	undefined	undefined
ACKR4	atypical chemokine receptor 4	Atypical chemokine receptors	undefined	undefined	undefined	undefined	undefined
ACLY	ATP citrate lyase	undefined	ATPase activity (GO:0016887)	undefined	undefined	nucleus; cytosol; plasma membrane	plasma.membrane
ACMSD	aminocarboxymuconate semialdehyde decarboxylase	undefined	Carboxy-lyase activity (GO:0016831)	undefined	TM	cytosol	plasma.membrane
ACN9	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
ACO1	aconitase 1	undefined	Isomerase activity (GO:0016853)	RNA processing protein	undefined	cytosol; endoplasmic reticulum; Golgi	ER.Golgi
ACO2	aconitase 2	undefined	Catalytic activity (GO:0003824)	undefined	undefined	nucleus; mitochondria	mitochondria.metabolism
ACOT1	acyl-CoA thioesterase 1	Acyl-CoA thioesterases	Molecular function unknown (GO:0005554)	undefined	undefined	cytosol	undefined
ACOT11	acyl-CoA thioesterase 11	Acyl-CoA thioesterases|StAR-related lipid transfer domain containing	Hydrolase activity (GO:0016787)	undefined	START	undefined	plasma.membrane
ACOT12	acyl-CoA thioesterase 12	Acyl-CoA thioesterases|StAR-related lipid transfer domain containing	Hydrolase activity (GO:0016787)	undefined	undefined	undefined	undefined
ACOT13	acyl-CoA thioesterase 13	Acyl-CoA thioesterases	Hydrolase activity (GO:0016787)	undefined	undefined	nucleus	plasma.membrane
ACOT2	acyl-CoA thioesterase 2	Acyl-CoA thioesterases	Hydrolase activity (GO:0016787)	undefined	undefined	undefined	plasma.membrane
ACOT4	acyl-CoA thioesterase 4	Acyl-CoA thioesterases	Hydrolase activity (GO:0016787)	undefined	undefined	undefined	undefined
ACOT6	acyl-CoA thioesterase 6	Acyl-CoA thioesterases	Molecular function unknown (GO:0005554)	undefined	undefined	cytosol	undefined
ACOT7	acyl-CoA thioesterase 7	Acyl-CoA thioesterases	Hydrolase activity (GO:0016787)	undefined	undefined	nucleus; cytosol	plasma.membrane
ACOT8	acyl-CoA thioesterase 8	Acyl-CoA thioesterases	Hydrolase activity (GO:0016787)	undefined	undefined	undefined	undefined
ACOT9	acyl-CoA thioesterase 9	Acyl-CoA thioesterases	Hydrolase activity (GO:0016787)	undefined	undefined	undefined	undefined
ACOX1	acyl-CoA oxidase 1, palmitoyl	undefined	Catalytic activity (GO:0003824)	undefined	undefined	nucleus; nucleolus; plasma membrane	plasma.membrane
ACOX2	acyl-CoA oxidase 2, branched chain	undefined	Catalytic activity (GO:0003824)	undefined	undefined	undefined	undefined
ACOX3	acyl-CoA oxidase 3, pristanoyl	undefined	Catalytic activity (GO:0003824)	undefined	undefined	undefined	undefined
ACOXL	acyl-CoA oxidase-like	undefined	Oxidoreductase activity (GO:0016491)	undefined	undefined	undefined	undefined
ACP1	acid phosphatase 1, soluble	Acid phosphatases|Class II Cys-based phosphatases	Acid phosphatase activity (GO:0003993)	phosphatase	TM	plasma membrane	plasma.membrane
ACP2	acid phosphatase 2, lysosomal	Acid phosphatases	Acid phosphatase activity (GO:0003993)	membrane protein	TM	lysosome	endolysosome.system
ACP5	acid phosphatase 5, tartrate resistant	Acid phosphatases	Acid phosphatase activity (GO:0003993)	phosphatase	undefined	cytosol; lysosome	endolysosome.system
ACP6	acid phosphatase 6, lysophosphatidic	Acid phosphatases	Acid phosphatase activity (GO:0003993)	undefined	undefined	undefined	undefined
ACP7	acid phosphatase 7, tartrate resistant (putative)	undefined	undefined	undefined	undefined	undefined	undefined
ACPL2	undefined	undefined	Acid phosphatase activity (GO:0003993)	undefined	undefined	Golgi	ER.Golgi
